Country,Most_Played_Genre
Afghanistan,Action
Albania,Action
Algeria,Action
Andorra,Action
Angola,Action
Antigua and Barbuda,Action
Argentina,Sports
Armenia,Action
Australia,Shooter
Austria,Strategy
Azerbaijan,Action
Bahamas,Action
Bahrain,Sports
Bangladesh,Shooter
Barbados,Action
Belarus,Shooter
Belgium,Action
Belize,Action
Benin,Action
Bhutan,Action
Bolivia,Shooter
Bosnia and Herzegovina,Action
Botswana,Action
Brazil,Strategy
Brunei,Action
Bulgaria,Shooter
Burkina Faso,Action
Burundi,Action
Cabo Verde,Action
Cambodia,MOBA
Cameroon,Action
Canada,Shooter
Central African Republic,Action
Chad,Action
Chile,Shooter
China,Role-Playing
Colombia,Shooter
Comoros,Action
Congo (Congo-Brazzaville),Action
Costa Rica,Shooter
Croatia,Action
Cuba,Action
Cyprus,Action
Czechia (Czech Republic),Shooter
Democratic Republic of the Congo,Action
Denmark,Shooter
Djibouti,Action
Dominica,Action
Dominican Republic,Shooter
Ecuador,Shooter
Egypt,Sports
El Salvador,Shooter
Equatorial Guinea,Action
Eritrea,Action
Estonia,Action
Eswatini,Action
Ethiopia,Action
Fiji,Action
Finland,Shooter
France,Action
Gabon,Action
Gambia,Action
Georgia,Action
Germany,Strategy
Ghana,Action
Greece,Action
Grenada,Action
Guatemala,Shooter
Guinea,Action
Guinea-Bissau,Action
Guyana,Action
Haiti,Action
Honduras,Shooter
Hungary,Shooter
Iceland,Shooter
India,Shooter
Indonesia,MOBA
Iran,Action
Iraq,Sports
Ireland,Action
Israel,Action
Italy,Sports
Jamaica,Action
Japan,Role-Playing
Jordan,Sports
Kazakhstan,Shooter
Kenya,Action
Kiribati,Action
Kuwait,Sports
Kyrgyzstan,Action
Laos,MOBA
Latvia,Action
Lebanon,Sports
Lesotho,Action
Liberia,Action
Libya,Action
Liechtenstein,Action
Lithuania,Action
Luxembourg,Action
Madagascar,Action
Malawi,Action
Malaysia,MOBA
Maldives,Action
Mali,Action
Malta,Action
Marshall Islands,Action
Mauritania,Action
Mauritius,Action
Mexico,Shooter
Micronesia,Action
Moldova,Action
Monaco,Action
Mongolia,Shooter
Montenegro,Action
Morocco,Action
Mozambique,Action
Myanmar (formerly Burma),MOBA
Namibia,Action
Nauru,Action
Nepal,Action
Netherlands,Action
New Zealand,Shooter
Nicaragua,Shooter
Niger,Action
Nigeria,Action
North Korea,Strategy
North Macedonia,Action
Norway,Shooter
Oman,Sports
Pakistan,Shooter
Palau,Action
Palestine State,Action
Panama,Shooter
Papua New Guinea,Action
Paraguay,Shooter
Peru,Shooter
Philippines,MOBA
Poland,Role-Playing
Portugal,Sports
Qatar,Sports
Romania,Shooter
Russia,Shooter
Rwanda,Action
Saint Kitts and Nevis,Action
Saint Lucia,Action
Saint Vincent and the Grenadines,Action
Samoa,Action
San Marino,Action
Sao Tome and Principe,Action
Saudi Arabia,Sports
Senegal,Action
Serbia,Action
Seychelles,Action
Sierra Leone,Action
Singapore,MOBA
Slovakia,Shooter
Slovenia,Action
Solomon Islands,Action
Somalia,Action
South Africa,Action
South Korea,Role-Playing
South Sudan,Action
Spain,Sports
Sri Lanka,Shooter
Sudan,Action
Suriname,Action
Sweden,Shooter
Switzerland,Strategy
Syria,Action
Tajikistan,Action
Tanzania,Action
Thailand,MOBA
Timor-Leste,Action
Togo,Action
Tonga,Action
Trinidad and Tobago,Action
Tunisia,Action
Turkey,Shooter
Turkmenistan,Action
Tuvalu,Action
Uganda,Action
Ukraine,Shooter
United Arab Emirates,Sports
United Kingdom,Shooter
United States,Shooter
Uruguay,Sports
Uzbekistan,Action
Vanuatu,Action
Venezuela,Shooter
Vietnam,MOBA
Yemen,Action
Zambia,Action
Zimbabwe,Action
