Year,Genre,Global_Sales_Millions,North_America_Sales,Europe_Sales,Asia_Pacific_Sales,Rest_of_World_Sales,YoY_Growth_Percent,Market_Share_Percent,Platform_Primary
2006,Action,8.45,3.38,2.11,2.03,0.93,0.0,23.5,Console
2006,Shooter,6.32,2.84,1.71,1.01,0.76,0.0,17.6,Console
2006,Role_Playing,3.48,0.87,0.70,1.57,0.34,0.0,9.7,Console
2006,Sports,3.79,1.52,1.14,0.68,0.45,0.0,10.5,Console
2006,Adventure,2.21,0.88,0.66,0.44,0.23,0.0,6.2,Console
2006,Racing,1.90,0.76,0.57,0.38,0.19,0.0,5.3,Console
2006,Strategy,1.26,0.38,0.38,0.38,0.12,0.0,3.5,PC
2006,Puzzle_Casual,1.58,0.63,0.47,0.32,0.16,0.0,4.4,Mobile
2006,Fighting,0.95,0.38,0.29,0.19,0.09,0.0,2.6,Console
2006,Simulation,1.26,0.50,0.38,0.25,0.13,0.0,3.5,PC
2006,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2006,MMORPG,1.58,0.47,0.32,0.63,0.16,0.0,4.4,PC
2006,Platformer,2.21,0.88,0.66,0.44,0.23,0.0,6.2,Console
2006,Horror,0.32,0.13,0.10,0.06,0.03,0.0,0.9,Console
2006,Music_Rhythm,0.63,0.25,0.19,0.13,0.06,0.0,1.7,Console
2007,Action,11.27,4.51,2.82,2.71,1.23,33.4,23.6,Console
2007,Shooter,8.38,3.77,2.26,1.34,1.01,32.6,17.6,Console
2007,Role_Playing,4.61,1.15,0.92,2.07,0.47,32.5,9.7,Console
2007,Sports,5.03,2.01,1.51,0.90,0.61,32.7,10.5,Console
2007,Adventure,2.93,1.17,0.88,0.59,0.29,32.6,6.1,Console
2007,Racing,2.51,1.00,0.75,0.50,0.26,32.1,5.3,Console
2007,Strategy,1.67,0.50,0.50,0.50,0.17,32.5,3.5,PC
2007,Puzzle_Casual,2.09,0.84,0.63,0.42,0.20,32.3,4.4,Mobile
2007,Fighting,1.26,0.50,0.38,0.25,0.13,32.6,2.6,Console
2007,Simulation,1.67,0.67,0.50,0.33,0.17,32.5,3.5,PC
