Year,PlayStation_2,PlayStation_3,PlayStation_4,PlayStation_5,Xbox,Xbox_360,Xbox_One,Xbox_Series_XS,GameCube,Nintendo_Wii,Nintendo_Wii_U,Nintendo_Switch,Nintendo_Switch_2,Nintendo_DS,Nintendo_3DS,Game_Boy_Advance,PSP,PS_Vita,Sega_Dreamcast,Steam_Deck
2006,122.50,1.68,0.00,0.00,24.65,10.00,0.00,0.00,21.74,3.19,0.00,0.00,0.00,35.49,0.00,81.06,24.19,0.00,10.60,0.00
2007,132.80,10.92,0.00,0.00,24.65,17.30,0.00,0.00,21.74,23.32,0.00,0.00,0.00,66.70,0.00,81.51,37.69,0.00,10.60,0.00
2008,142.30,20.98,0.00,0.00,24.65,28.08,0.00,0.00,21.74,49.27,0.00,0.00,0.00,96.85,0.00,81.51,50.42,0.00,10.60,0.00
2009,149.20,33.83,0.00,0.00,24.65,38.24,0.00,0.00,21.74,75.45,0.00,0.00,0.00,127.96,0.00,81.51,62.02,0.00,10.60,0.00
2010,153.60,48.13,0.00,0.00,24.65,50.33,0.00,0.00,21.74,95.98,0.00,0.00,0.00,144.59,0.00,81.51,71.40,0.00,10.60,0.00
2011,156.30,62.06,0.00,0.00,24.65,63.98,0.00,0.00,21.74,107.62,0.00,0.00,0.00,151.06,4.13,81.51,75.28,0.30,10.60,0.00
2012,158.70,74.88,0.00,0.00,24.65,73.65,0.00,0.00,21.74,111.60,3.06,0.00,0.00,153.67,19.08,81.51,78.51,4.10,10.60,0.00
2013,160.63,84.68,4.50,0.00,24.65,81.15,3.90,0.00,21.74,112.06,5.78,0.00,0.00,154.02,36.93,81.51,80.79,7.20,10.60,0.00
2014,160.63,88.10,23.00,0.00,24.65,84.55,15.90,0.00,21.74,112.06,9.16,0.00,0.00,154.02,50.41,81.51,81.09,10.15,10.60,0.00
2015,160.63,89.30,40.80,0.00,24.65,86.05,26.40,0.00,21.74,112.06,11.56,0.00,0.00,154.02,59.07,81.51,81.09,13.14,10.60,0.00
2016,160.63,89.90,61.00,0.00,24.65,86.55,34.90,0.00,21.74,112.06,13.56,0.00,0.00,154.02,65.30,81.51,81.09,15.12,10.60,0.00
2017,160.63,89.90,81.00,0.00,24.65,86.55,41.40,0.00,21.74,112.06,13.56,14.86,0.00,154.02,70.94,81.51,81.09,15.82,10.60,0.00
2018,160.63,89.90,98.80,0.00,24.65,86.55,46.40,0.00,21.74,112.06,13.56,32.82,0.00,154.02,74.33,81.51,81.09,15.90,10.60,0.00
2019,160.63,89.90,113.20,0.00,24.65,86.55,49.90,0.00,21.74,112.06,13.56,53.85,0.00,154.02,75.94,81.51,81.09,15.90,10.60,0.00
2020,160.63,89.90,124.70,4.50,24.65,86.55,51.90,2.80,21.74,112.06,13.56,82.68,0.00,154.02,75.94,81.51,81.09,15.90,10.60,0.00
2021,160.63,89.90,128.90,18.90,24.65,86.55,51.90,9.90,21.74,112.06,13.56,105.74,0.00,154.02,75.94,81.51,81.09,15.90,10.60,0.00
2022,160.63,89.90,130.40,37.90,24.65,86.55,51.90,15.80,21.74,112.06,13.56,120.65,0.00,154.02,75.94,81.51,81.09,15.90,10.60,1.50
2023,160.63,89.90,130.90,58.70,24.65,86.55,51.90,20.60,21.74,112.06,13.56,136.20,0.00,154.02,75.94,81.51,81.09,15.90,10.60,5.00
2024,160.63,89.90,130.90,76.20,24.65,86.55,51.90,24.10,21.74,112.06,13.56,147.70,0.00,154.02,75.94,81.51,81.09,15.90,10.60,9.00
2025,160.63,89.90,130.90,88.20,24.65,86.55,51.90,26.60,21.74,112.06,13.56,154.01,15.00,154.02,75.94,81.51,81.09,15.90,10.60,12.00
